inputs,outputs
schedule a meeting on monday the 1st at 11am with the sales team to discuss the company picnic. a meeting on monday the 1st at 11am has been scheduled with the sales team to discuss the company picnic. thanks!,happy to help
please confirm the address and give me directions via a route with no traffic to home.,the only route to home at 56 cadwell street has a home_traffic_info. shall i proceed?
what is my address?,you live at 5671 barringer street.
"i need to go home and avoid the heavy traffic.  taking you home, there is a home_traffic_info.   am i more than 3 miles away right now? you are home_distance away from home. ok avoid all heavy traffic with the fasest route home",there is a home_traffic_info but i already sent another route on your map
what is the date of my nextt dentist appointment and who will be attending it?,your next dentist appointment is on the 2nd with dentist_appointment_party.
take me to the nearest hospital we are Stanford_Childrens_Health_distance away from stanford childrens health and there is no traffic on our way what is the address?,stanford childrens health is at Stanford_Childrens_Health_address.
show me this week's forecast what location do you want the weather for? will it be foggy in danville?,during the next week it's not gonna be foggy in danville.
"is there any rain in the local forecast what city? grand rapids, its it going to rain on grand_rapids_saturday? there will be no rain on grand_rapids_saturday in grand rapids. thank you car!",you are welcome!
i need directions to my house and avoid all heavy traffic home is listed at 5671 barringer street and home_traffic_info is noted.  can you put the route up on the screen please.,"setting directions now to home, home_distance away."
check weather where would you like me to check the weather for? mountain view for the next 7 days please.,what would you like to know about the weather in mountain view over the the next 7 days?
what's the weekly weather report for the city what city please. will it be humid in fresno this week? it will not be humid in fresno this week. thank you,you're very welcome!
"set reminder for dinner okay, i've set a reminder for dinner. what time and date did you set it for?",what date and time would you like me to set it for?
"what is the date and time of my next dentist appointment. can you clarify which one? i have one on dentist_appointment_date at 5pm and one on sunday at 10 am.  that will do just fine, thanks.",you're welcome.
what will the temperature be for the next week where would you like to hear the temperature from? alhambra,the temperature for alhambra for the week include the highs near 100 and lows in the 40s.
"set a reminder for my conference with management later this week at 11 am. okay, i have that reminder set for you. anything else? great. no, thank you!",happy to help
"find the nearest coffee shop the nearest coffee shop is starbucks which is Starbucks_distance away. do you need the address? yes, please, send it on my screen and pick a route to avoid all heavy traffic the address to starbucks is 792 bedoin street and there is Starbucks_traffic_info on the route.  would you like me to set the gps? yes please.","i sent the info on your screen, drive carefully!"
is it going to be humid in danville on danville_saturday?,it will not be humid in danville on danville_saturday.
what is the forecast in my city,in which city are you now?
"find me all the nearest hotels the westin is located The_Westin_distance away at 329 el camino real, and the clement hotel 5 miles away at 657 ames avenue.  how's the traffic to them?",westin has The_Westin_traffic_info and the clement hotel has moderate traffic.
"where can i buy groceries? there is one local grocery store called whole foods but a car collision is noted nearby.  oh no, is there any other options? that is the only one. give me the address. whole foods is at Whole_Foods_address. thanks!",anytime!
navigate to my friend's home please,i do not have an address for your friend's home.
is there snow in the forecast for the week can you tell me what location you need this forecast for? redwood city,the weather forecast does not predict any snow will fall in redwood city this week
how is the climate on danville_friday what city do you want the weather for? weather for danville it will be the highest temperature on danville_friday in danville. thanks.,you are welcome.
"take me to the nearest chinese restaurant the nearest one is mandarin roots, it's just Mandarin_Roots_distance away and there is no traffic too please pick the fastest route and let's go there!",mandarin roots is located at Mandarin_Roots_address and navigation is set.
what's the weather forecast in new york what time period are you interested in? new_york_monday: will it be warm?,"new_york_monday will be windy, with a low of 60f and high of 70f, somewhat warm."
"can you find me parking nearby we are Civic_Center_Garage_distance away from civic center garage: does it sound good to you? yes, what is the address?","270 altaire walk, it's Civic_Center_Garage_distance away with moderate traffic on the route"
remind me that i have a meeting tomorrow,what time would you like the reminder?
set a reminder for tennis on august 3rd at 11am with my aunt,setting reminder for tennis on august 3rd at 11 am with aunt.
"give me directions to a coffee shop there is a coffee shop, teavana,  1 mile away ok, please give me an address and directions via a route that avoids all heavy traffic.",i will begin turn by turn directions now.
schedule a dentist appointment at 3 next month on the 12th,i have scheduled a dentist appointment for 3 pm next month on the 12th. is that correct?
give me directions to the nearest restaurant,"okay, there is a panda express 1 mile away. you can find it at Panda_Express_address, this route does not have any traffic"
what is my address? your home address is home_address thanks set the gps to the avoid the heavy traffic please. done. there is only home_traffic_info on the route home. ok thanks.,you're welcome.
tell me the best route to get home with the least amount of traffic home is only 1 mile away and there is home_traffic_info. would you like the directions now?  yes sounds good.,setting navigation now.
"is there a whole foods here? no, just sigona farmers market. what is the address?","638 amherst st, it's Sigona_Farmers_Market_distance away, i sent its location on your screen"
search for nearby cafe,"i don't have any cafe's but i have coffee and tea places listed, would you like the closest one available?"
let me know if there will be snow and ice in the next week's forecast what city are you wanting to know if there is going to be snow and ice? new york,there is no snow or ice expected in new york this week.
find weekly weather forecast,what city can i give you the weekly weather forecast for?
"what is the weather like today what location do you want the weather for? cleveland, please, i'd like to know if it's gonna snow today it will not snow in cleveland today. thanks.",anytime.
get me the home address of my friend that is the closest to my location.,"we're jacks_house_distance away from jack's house, i sent his address' position on your screen"
what is the weather like today and tomorrow what city would you like the weather for? will it rain in mountain view?,"rain is not predicted today, but tomorrow rain is predicted to fall in mountain view"
find a tea shop,"there is a coupa, cafe venetia, philz and starbucks, which one would you like?"
give me directions to the local starbucks,there are no local starbucks.
when is the football?,the football game is football_activity_date at 9 am.
remind me about my optometrist appointment at 11am on monday the 1st with jeff,"okay, setting a reminder for your optometrist appointment at 11am on monday the 1st with jeff."
"is it going to rain today which location are you asking about? oakland no, no rain, today it's gonna snow in oakland thank you car!",anytime.
who is attending my dentist appointment and when is it?,you have 5 upcoming dentist appointments: the next one will be on dentist_appointment_date at 7pm and your aunt will be with you.
"find me the quickest route to the gas station.  there is a chevron Chevron_distance away. is chevron the closest? if so send me the address. chevron is the closest at Chevron_address. then pick a quick route and let's go there, thank you! taking you to chevron. great, thanks again",you are welcome
"give me directions to the nearest shopping mall we are Town_and_Country_distance away from town and country: does it sound good to you? yes, what is the address?","383 university ave, it's Town_and_Country_distance away but there is heavy traffic on our way"
is it stormy in san francisco right now? it is not stormy in san francisco right now. thank you.,you're welcome.
"will it be raining in the next 7 days what city are you asking about? alhambra there isn't any rain predicted in alhambra great, thanks",my pleasure.
"what is the date of my next medicine activity and who will be attending? i have you set for two, one at 1pm on the 8th with jeff, and one at 4pm on monday with alex. thanks!",no problem.
"find me a nearby shopping mall shopping center there is stanford shopping center Stanford_Shopping_Center_distance away: do you want me to send you its address on screen? yes sounds good.  stanford shopping center is located at Stanford_Shopping_Center_address. do you want me to set the gps?  yes, please, pick a quick route to go there too. thank you!",i sent the info with the best route on your screen! you're welcome!
get the address to the closest gas station asap.,shell is the closest gas station at Shell_distance and the address is 53 university av.
what is the weather like this week you would like to know what the weather is like for what city? will it be hot in grand rapids this week? it will not be hot in grand rapids this week. thank you.,no problem.
give me directions to the nearest shopping center,"the nearest shopping mall is midtown shopping center, it's Midtown_Shopping_Center_distance away"
give me the time for my next doctor's appointment your doctor's appointment is at 3 pm. what day is the doctor's appointment?,your doctor's appointment is scheduled for tuesday.
"how is the weather this week what city do you want the weather for? mountain view, is it supposed to rain? in mountain view it's gonna rain today and on mountain_view_thursday thank you car!",anytime!
"is it going to snow in the next 7 days what city can i give you the snow information for? in cleveland please, i need to know if it is going to snow in the next 7 days. there will be no snow for the next 7 days in cleveland.  thanks.",no problem.
what is the weather like in new york this week,"this week the weather in new york has a mix of snow, rain, fog, and clear skies with a blizzard."
will it be hail in cleveland on cleveland_sunday? there will not be hail in cleveland on cleveland_sunday.  thank you very much car!,no problem.
"car, find the address for the grocery store, i need the details of location like the closest one with route details, shortest distance please.",the address of trader joes is Trader_Joes_address.
"find nearest chinese restaurant there is panda express Panda_Express_distance away: send you the coordinates on screen? send me the quickest route to panda express. setting quickest route to panda express on gps now. would you like the address? yes, please, send it on my map, thank you! i sent the address Panda_Express_address on your map: is there anything else i could do for you? that's it, thank you very much car!","you're welcome, i'm here to assist you!"
"pull up directions to 5672 barringer street i don't see 5672 barringer street nearby; can you confirm that that is the destination you want? yes, it should be near me in the direction we're going now",i still do not see 5672 barringer street nearby. home is nearby at home_distance away; do you wish to go there?
remind me about my optometrist appointment on thursday with my brother,for what time would you like me to remind you about your optometrist appointment  on thursday with your brother?
what is the weather forecast for boston_wednesday through tuesday of next week what city can i give you the forecast for? please tell me if there will be any drizzle in boston on boston_tuesday. the forecast does not predict any drizzle in boston on boston_tuesday. thanks no problem.  until next time.,bye.
what date and time is the football event? your next football event is on the 8th at 6pm.  will anyone be attending with me?,"yes, marie will be attending the football event on the 8th with you."
add the football game to my calendar,"okay, what day and time should i add the football game?"
"where's the nearest place to get lunch there is a panda express Panda_Express_distance away on 842 arrowhead way could you please show me a quick route to get there? i have sent the route to your screen. okay, will there be any traffic? yes, there is currently Panda_Express_traffic_info on the route to panda express is there a way around the traffic? i'm afraid not, but i can set navigation for the quickest route available.  ok, thank you.","you're welcome; drive safely, and enjoy."
what is the weather next week what location do you want the weather for? will it be clear in oakland? it will not be clear in oakland next week. thanks!,happy to help
"get me directions to the grocery store whole foods is Whole_Foods_distance away but there is heave traffic on our way are any other grocery stores available with no Whole_Foods_traffic_info? no, whole foods is the only one i have listed. would you like the address anyway? yes, i guess that will have to do.","its address is Whole_Foods_address, i sent it on your map. drive carefully!"
remind me about my doctor's visit,when and where is the doctor's visit you would like to set a reminder for?
"remind me about the conference tomorrow at 12 pm in conference room 100 okay, setting a 12 pm reminder for your conference tomorrow in conference room 100. thanks!",anytime
look at today and tomorrow and tell me if there will be any snow in san francisco,it will not snow in the next 2 days in san francisco.
where is the nearby hospital? palo alto medical foundation	is at Palo_Alto_Medical_Foundation_address. thanks!,you're welcome.
"where is the rest stop within 2 miles? there is the clement hotel The_Clement_Hotel_distance away, i'm showing it on your map what is the address? the clement hotel is located at The_Clement_Hotel_addressnue. anything else? please pic the route with the shortest distance and let's go there","there is The_Clement_Hotel_traffic_info on our way, i sent the route on your screen"
"give me directions to a place to sleep there are the four seasons hotel Four_Seasons_distance away, and the westin 5 miles from here. which one do you prefer? give me the address of westin. the westin hotel is at 329 el camino real, it's 5 miles away and there is heavy traffic on the route thanks how's the traffic to the four seasons? four seasons has Four_Seasons_traffic_info. is that okay? give me the address to the four seasons instead and set the gps to the quickest route. the address of the four seasons is Four_Seasons_address.  gps set to the quickest route to the four seasons. thank you, car.",you're welcome.
"will it rain next week what location are you wondering about? san mateo, please you can expect to see rain on san_mateo_sunday in san mateo thanks.",you're welcome.
give me directions to the local starbucks,"there is no starbucks nearby, but teavana is located 1 mile away. would you like directions there?"
check to see if i have any meetings or conferences in the near future,go over budget is scheduled for meeting_date at 3pm in 100 conference room.
"i need the quickest route to a rest stop. i am so tired. the westin is at The_Westin_address which is only a mile away.  that's good, thank you car, let's go there! you're welcome please set directions via the quickest route, and thanks again.",pulling up route on screen.
will it be stormy in carson on carson_sunday?,it will not be stormy in carson on carson_sunday.
"mark on my calendar that i am going to the football game this saturday at 3:30 your calendar has been set for football game this saturday at 3:30 pm. okay, thanks car.",you are welcome.
schedule a yoga activity with alex for the 2nd at 1pm.,scheduling yoga activity with alex for the 2nd at 1pm.
find me somewhere to park,the palo alto garage r is Palo_Alto_Garage_R_distance away.
show me all information regarding my upcoming dentist appointment.,your dentist appointment is on dentist_appointment_date at 10 am with your mother.
search for nearby cafe,we're Teavana_distance away from teavana with heavy traffic on its direction but i'm afraid this is the best option
"tomorrow's forecast what city can i tell you tomorrows forecast for? i need the forecast in alhambra for tomorrow please.  tomorrow it will be overcast in alhambra, with low of 30f, and high of 40f thank you car!",you're welcome!
"need a coffee place within 4 miles with the quickest route. starbucks is Starbucks_distance away. that's good, please pick the fastest route to go there setting gps for quickest route. do you need any more info? yes i need the address please.  Starbucks_address, you can see it on your map! thanks for your help.","always happy to help, you're welcome."
schedule a football game on tuesday at 6pm with marie reminder set for football game at 6 pm on tuesday with marie.  thanks. great job.,it is my pleasure to assist you.
find nearest chinese restaurant there is panda express Panda_Express_distance away: send you the coordinates on screen? send me the quickest route to panda express.,setting quickest route to panda express on gps now. would you like the address?
what's the temperature going to be for the week,where do you want to know the temperature for?
"what's the temperature going to be for the week what city do you want the weather for? fresno next week, fresno's temperatures will vary between lows in the 40s to a high of 100f thank you.",glad to help
what are the directions to the nearest hospital the nearest hospital is stanford childrens health which is Stanford_Childrens_Health_distance away and it has heavy traffic.  is there another option with less traffic?,i'm sorry stanford childrens hospital is the best choice at the moment.
"schedule conference.  what details shall i add to your conference reminder? set it for today at 4pm with my boss anything else? that is all, thanks!",you're welcome
over the next seven days will it be humid at all in redwood city?,there will be no humid days over the next 7 days.
"i need directions to a grocery store there are two grocery stores near you. would you like safeway or whole foods? i need the one with the quickest route that is within 3 miles of me please. there is heavy traffic but whole foods is just Whole_Foods_distance away at 819 alma st thank you very much car, let's go!",you're welcome! on our way.
"who is going with me to the lab appointment and what day is it? your lab appointment is on lab_appointment_date with martha okay, wonderful. thank you!",no problem
please tell me the weather for today and what the weather will be tomorrow what city are you in? atherton,today in atherton it is foggy with a low of 90f and high of 100f. tomorrow there will be hail with the same temperatures.
i have a dinner on tuesday what time is your dinner on tuesday? it is at 3pm,okay i will set a reminder for dinner on tuesday at 3 pm.
in the next 48 hours will it rain in alhambra? just a little: the weather in alhambra will be drizzle today and overcast tomorrow thank you.,sure!
set a reminder for yoga activity at 5 pm on thursday with mother.  setting reminder for yoga activity at 5 pm thursday with mother.  thank you!,you're welcome
directions to local cafe the nearest cafe is 1 mile away. would you like the name and address of it? yes and please provide the quickest route. the coffee shop is named palo alto cafe and located at Palo_Alto_Cafe_addressive.  thank you car!,you're welcome!
schedule a meeting for next week,what date and time do you want to schedule your meeting?
"what is the weather for today what city did you need information about? fresno, please, tell me if it will be misty today",it will not be misty in fresno today
set a reminder that i have football at 1pm next wednesday with martha  i have scheduled football at 1pm next wednesday with martha thank you very much assistant.,you are welcome
find directions to home,i do not have directions for home at this moment.
is it going to be raining this weekend for which city would you like to know if there will be rain this weekend?  durham it will be raining on durham_sunday in durham. thanks.,you are welcome.
where is the nearest rest stop?,"the nearest one is the four seasons, it's Four_Seasons_distance away. but if you prefer there is also the travelers lodge that's 6 miles away"
"can you give me the weather this week for new york city this week in new york is predicted to be dry, clear skies, with a blizzard, windy and rain. will it drizzle in new york this week tho?",the isn't any drizzle predicted to fall in new york this week.
is it gonna hail in mountain view this week?,in mountain view it will be hail on mountain_view_saturday
what is the date and time for my scheduled dinner this week with sue.,i find no dinner scheduled this week with sue.
will there be dew in brentwood this week?,there is no dew in the forecast for brentwood this week.
"where can i get gas? i have a couple gas stations listed, both Shell_distance away. how is the traffic to them? both have Shell_traffic_info at the moment. give me the address of either one with the fastes route",shell is Shell_distance away at 53 university av with moderate traffic noted.
"where can i find tea around me the nearest tea places are phils in 5 miles and teavana in Teavana_distance: there is heavy traffic to reach phils and no traffic on the route to teavana. let's try teavana since it has Teavana_traffic_info.  teavana is Teavana_distance away at 145 amherst st. we should be there soon.  please set the gps to teavana. i sent the info on your map, drive carefully! thanks so much.",you're very welcome!
"what gas stations are near? we're Chevron_distance away from chevron how's the traffic there? there is Chevron_traffic_info to chevron. what is the address? chevron is located at Chevron_address. i sent the address to the navigation.  pick a route with Chevron_traffic_info please and let's go there, thank you!",setting gps to chevron at Chevron_address. you're welcome.
what is the forecast in my city,what is your city?
"tell me what the weather will be like tomorrow what location do you want the weather for? oakland, please.","tomorrow in oakland it will be raining, with a low of 60f and a high of 80f."
what is the location and agenda of my next meeting and who will be attending?,the location is conference room 100. your conference_party will be attending.
get me directions to the nearest chinese restaurant,"the nearest one is tai pan, tai_pan_distance away from our position"
when is the next cloudy day what city are you asking about? mountain view on mountain_view_tuesday please.s it will not be cloudy in mountain view on mountain_view_tuesday thank you car!,you're welcome.
"please schedule a swimming activity tuesday at 5pm with martha. okay, scheduling a swimming activity with martha for tuesday at 5pm. thanks!",no problem.
"tell me what the temperature will be like for the next week for what city are you interested in the weather? alameda, please the temperature in alameda will be between 30f to 60f from monday to wednesday, and between 50f to 80f from thursday to alameda_sunday thank you car!",no problem.
car i need to go to a shopping center: is there any around me?,we're Ravenswood_Shopping_Center_distance away from ravenswood shopping center and 6 miles away from stanford shopping center: which one do you prefer?
"i need a reminder for the dinner later this week.  sure, what time is your dinner at? set the dinner for 10 am with marie. later this week like i said before, thanks. i will set a reminder for dinner at 10 am with marie later this week, what day exactly?  for saturday please. setting a reminder for your dinner with marie at 10 am on saturday. great, thanks.",you're welcome
"what is the weather going to be like today and tomorrow what city are you in? im in brentwood, i want to know if there will be frost today or tomorrow",there shouldn't be any frost in brentwood today or tomorrow.
"remind me about my football activity on the 1st, at 1 pm with my brother",all set for reminder about football activity with your brother on the 1st at 1 pm!
where can i go to eat there are 3 pizzeria and a chinese restaurant in the area: what would you like to eat? i'd like pizza! which pizzeria is the closest one? there is Pizza_My_Heart_traffic_info to pizza my heart 1 mile away at 528 anton ct can you show me a quick route to reach there?,"certainly, setting navigation now."
"find me a nearby shopping mall shopping center the local shopping center is stanford shopping center located at Stanford_Shopping_Center_address.  ok, please direct me there via a route with no traffic.  there is Stanford_Shopping_Center_traffic_info going into 773 alger dr. is there another shopping center nearby? if not, please set directions via the route with least traffic.  there are no other shopping centers nearby, sending directions. thank you car!",you're welcome!
what is the weather like today and tomorrow,what city are you in?
where's the closest place to park,palo alto garage r is the closest place to park.
"is it going to snow in the next week what city can i check for you? danville, please in danville, it will snow on danville_wednesday. thanks!",you're welcome.
remind me to go swimming on the 12th of this month,"okay, i've set a reminder to go swimming on the 12th."
check the date and time of my doctor's appointment your doctor's appointment is on friday at 1 pm. thank you,you are welcome.
what is today's forecast what city do you want the weather forecast for? will it rain in compton? it will rain on compton_saturday in compton. thank you.,you're welcome.
"where is there chinese food? i have a chinese restaurant that is Jing_Jing_distance away named jing jing. need more info? what is the address? jing jing	is at Jing_Jing_address. pick a route to avoid all heavy traffic and let's go there, thank you!",setting gps for quickest route with no traffic now.
"find me the address of a shopping center. we're near town and country and midtown shopping center, i suggest you the last one because is nearer and there is less traffic on the way then i will trust you car, don't make me regret it or there will be no more gasoline for you... please pick the shortest distance and let's go there, thank you!",okay heading to midtown shopping center at Midtown_Shopping_Center_address.
"what is the weather today in tomorrow in what location would you like the weather? i want to know if it will be humid in alhambra today. no, it will not be humid in alhambra today. it is raining with a low of 90f, and a high of 100f. thank you",you're welcome
"will it rain this week where do you want to know if it will rain in san mateo, please. it might rain in san mateo today and on san_mateo_sunday okay, great. thank you!",you're very welcome.
"where do i live? you should go back home at home_address, you sound confused, i'm worried for you! is that the quickest route?","yes, that is the quickest route, sure.. i sent the info on your screen, drive very s.l.o.w.l.y, please!"
i want pizza. i have an address for a pizza spot located Pizza_My_Heart_distance away. would you like more info? yes please find the quickest route.  pizza my heart is the only pizza place i can find. it is Pizza_My_Heart_distance away through heavy traffic. please give me the address and load directions. thank you.,pizza my heart is at Pizza_My_Heart_address. gps is set.
please give directions to the nearest starbucks there are no starbucks around but we're Cafe_Venetia_distance away from cafe venetia can i get the address?,cafe venetia is located at Cafe_Venetia_addressive.
"give me the closest fast food restaurant i do not have a listing for any fast food places but i do have a pizza restaurant that is Pizza_Hut_distance away. would you like more info on it? sure find the fastest route to a pizza place that is within Pizza_Hut_distance of me. pizza hut is Pizza_Hut_distance away, would you like the address? yes, please!","Pizza_Hut_address, i've already set the navigator to go there"
"where's the conference happening? who's going to be there and what are we talking about? you have several conferences on your schedule, which one in particular would you like information about? please choose a random one.",your conference is in conference room 102 with the conference_party to go over the budget.
give me the weekly weather forecast,what city are you inquiring about?
