,inputs,outputs,predictions
16,"check forecast for new york the weather this week will be hail and rain on thursday and new_york_sunday, with the lowest temperature being 20f and the highest 90f, monday will be the only hot day.  will it be overcast on new_york_friday? on new_york_friday it will be cloudy on new york thank you!",you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
17,will it be warm in camarillo over the next 2 days?,"no, it's not gonna be warm in camarillo over the next 2 days",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> be warm in camarillo over the next on days <eos>
18,"will it be warm in camarillo over the next 2 days? no, it's not gonna be warm in camarillo over the next 2 days thank you car!",you are very welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are very welcome <eos>
19,what's the highest temperature for this week,what location do you want to know the highest temperature?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you give to know the which <unk> <eos>
20,"what's the highest temperature for this week what location do you want to know the highest temperature? menlo park, please",on menlo_park_friday in menlo park it will be a high of 100f.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> on menlo_park_friday in menlo park it will be a high of 100f <eos>
21,"what's the highest temperature for this week what location do you want to know the highest temperature? menlo park, please on menlo_park_friday in menlo park it will be a high of 100f. excellent, that's very helpful.",you are very welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are very welcome <eos>
22,will there be hail in mountain view today?,there will be clear skies today in mountain view.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> will in the skies today in mountain view <eos>
23,will there be hail in mountain view today? there will be clear skies today in mountain view. thanks.,anytime.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> anytime <eos>
24,will the weather be warm in menlo park on menlo_park_sunday?,the highest temperature on menlo_park_sunday is 30f in menlo park,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> the highest temperature on menlo_park_sunday is 30f in menlo park <eos>
25,will the weather be warm in menlo park on menlo_park_sunday? the highest temperature on menlo_park_sunday is 30f in menlo park thanks.,you are welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
26,what is the weather like today and tomorrow,what city would you like the 2 day forecast for?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you i the want the weather <unk> <eos>
27,what is the weather like today and tomorrow what city would you like the 2 day forecast for? i need to know if there is a blizzard in redwood city today.,there is no blizzard in redwood city today.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> there is no blizzard in redwood city today <eos>
28,what is the weather like today and tomorrow what city would you like the 2 day forecast for? i need to know if there is a blizzard in redwood city today. there is no blizzard in redwood city today. thanks.,you are welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
29,get me directions to the nearest shopping mall,the nearest shopping mall is stanford shopping center. it's located Stanford_Shopping_Center_distance away and there is no traffic to reach it,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> but pan located traffic 830 reach nearby <eos>
30,get me directions to the nearest shopping mall the nearest shopping mall is stanford shopping center. it's located Stanford_Shopping_Center_distance away and there is no traffic to reach it sounds great. thanks.,you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
31,remind me that i have a meeting at work on the 12th at 5 pm in conference room 100,"okay setting a reminder for you work meeting, on the 12th at 5 pm, in conference room 100.",<pad> <pad> <pad> <pad> reminder <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> reminder for event work meeting set <eos>
32,where are the nearest coffee shops,"the nearby coffee shops are teavana which is 6 miles away, and peets coffee which is Peets_Coffee_distance away.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> and do which prefer to <unk> <eos>
33,"where are the nearest coffee shops the nearby coffee shops are teavana which is 6 miles away, and peets coffee which is Peets_Coffee_distance away. please give me an address and directions to the peets coffee, and take the fastest route available.",peets coffee is located at Peets_Coffee_address. but a car collision is nearby on the route. i will try to find the quickest route possible.,Peets_Coffee_address but a car collision is nearby on the route i will try to find the quickest route possible <eos>
34,"where are the nearest coffee shops the nearby coffee shops are teavana which is 6 miles away, and peets coffee which is Peets_Coffee_distance away. please give me an address and directions to the peets coffee, and take the fastest route available.  peets coffee is located at Peets_Coffee_address. but a car collision is nearby on the route. i will try to find the quickest route possible.  thanks for all the help.",you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
35,what is the date of football and who is coming?,"you have four football activities scheduled; one on the 5th with john, on the 10th with marie, one on the 16th with alex, and one on monday with father.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> will and and one on monday with father <eos>
36,"what is the date of football and who is coming? you have four football activities scheduled; one on the 5th with john, on the 10th with marie, one on the 16th with alex, and one on monday with father.  thanks.",have a great day.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> have a great day <eos>
37,will it be stormy in redwood city on redwood_city_wednesday?,"no, redwood_city_wednesday it will be hot in redwood city",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> will low be will in hot in redwood city <eos>
38,"will it be stormy in redwood city on redwood_city_wednesday? no, redwood_city_wednesday it will be hot in redwood city thank you.",anytime.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> anytime <eos>
39,is it going to snow today,what city should i check for you?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> not to check for <unk> <eos>
40,is it going to snow today what city should i check for you? san mateo please.,"today is gonna be windy in san mateo, with expected low temperature of 40f, and high of 50f",<pad> <pad> <pad> <pad> be windy no no mateo with expected low temperature of 40f and high of 50f <eos>
41,"is it going to snow today what city should i check for you? san mateo please. today is gonna be windy in san mateo, with expected low temperature of 40f, and high of 50f thanks so much.",you're welcome. glad i could be of assistance.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're welcome glad i could be of assistance <eos>
42,what day and time is my yoga class?,your yoga activity is on yoga_activity_date at 10 am.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> activity is on yoga_activity_date at 10 am <eos>
43,what day and time is my yoga class? your yoga activity is on yoga_activity_date at 10 am. thank you kindly.,you are welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
44,is the weather cloudy right now,what location do you want the weather for?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you know cloudy it's <unk> <eos>
45,is the weather cloudy right now what location do you want the weather for? alameda.,it is not cloudy in alameda right now.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> it is gonna cloudy in alameda right now <eos>
46,is the weather cloudy right now what location do you want the weather for? alameda. it is not cloudy in alameda right now. thanks.,you're welcome. have a great day.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're welcome have a great day <eos>
47,will the weather be hail in alhambra during the next seven days?,there shouldn't be any hail during the next seven days in alhambra,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> no the weather hail during the next seven days in alhambra <eos>
48,will the weather be hail in alhambra during the next seven days? there shouldn't be any hail during the next seven days in alhambra thank you.,you're welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're welcome <eos>
49,schedule a yoga activity with tom on the 8th at 2pm.,"okay, scheduling a yoga activity with tom for the 8th at 2pm.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> scheduling a yoga with with tom for the 8th at 2pm <eos>
50,"schedule a yoga activity with tom on the 8th at 2pm. okay, scheduling a yoga activity with tom for the 8th at 2pm. thanks!",my pleasure.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> my pleasure <eos>
51,i need to find the shortest route to the hospital.,sorry it appears the nearest hospital is Palo_Alto_Medical_Foundation_distance away. palo alto medical foundation is located at 611 ames ave with heavy traffic noted.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> gas <pad> <pad> 611 ames ave with heavy traffic <unk> <eos>
52,i need to find the shortest route to the hospital. sorry it appears the nearest hospital is Palo_Alto_Medical_Foundation_distance away. palo alto medical foundation is located at 611 ames ave with heavy traffic noted.  can you send me the directions?,palo alto medical foundation is located at Palo_Alto_Medical_Foundation_address,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> palo alto medical foundation is located at Palo_Alto_Medical_Foundation_address <eos>
53,"i need to find the shortest route to the hospital. sorry it appears the nearest hospital is Palo_Alto_Medical_Foundation_distance away. palo alto medical foundation is located at 611 ames ave with heavy traffic noted.  can you send me the directions? palo alto medical foundation is located at Palo_Alto_Medical_Foundation_address thank you car, please pick the route with the shortest distance to reach there!",i sent the route on your map. you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> i sent the route on your map you're <unk> <eos>
54,give me the closest fast food restaurant,i do not have a listing for any fast food places but i do have a pizza restaurant that is Pizza_Hut_distance away. would you like more info on it?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you fast food near you <eos>
55,give me the closest fast food restaurant i do not have a listing for any fast food places but i do have a pizza restaurant that is Pizza_Hut_distance away. would you like more info on it? sure find the fastest route to a pizza place that is within Pizza_Hut_distance of me.,"pizza hut is Pizza_Hut_distance away, would you like the address?",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> pizza hut is Pizza_Hut_distance away would you like the <unk> <eos>
56,"give me the closest fast food restaurant i do not have a listing for any fast food places but i do have a pizza restaurant that is Pizza_Hut_distance away. would you like more info on it? sure find the fastest route to a pizza place that is within Pizza_Hut_distance of me. pizza hut is Pizza_Hut_distance away, would you like the address? yes, please!","Pizza_Hut_address, i've already set the navigator to go there",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> Pizza_Hut_address i've already set the navigator to go there <eos>
57,"give me the closest fast food restaurant i do not have a listing for any fast food places but i do have a pizza restaurant that is Pizza_Hut_distance away. would you like more info on it? sure find the fastest route to a pizza place that is within Pizza_Hut_distance of me. pizza hut is Pizza_Hut_distance away, would you like the address? yes, please! Pizza_Hut_address, i've already set the navigator to go there thank you car!",you're welcome!,<pad> <pad> <pad> market <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
58,what is the date of my nextt dentist appointment and who will be attending it?,your next dentist appointment is on the 2nd with dentist_appointment_party.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> and one next dentist appointment is on the 2nd with dentist_appointment_party <eos>
59,what is the date of my nextt dentist appointment and who will be attending it? your next dentist appointment is on the 2nd with dentist_appointment_party.  thank you.,you're welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're welcome <eos>
60,is it going to rain at all this upcoming week,what city shall i check for rain?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> will you i is i check rain <unk> <eos>
61,is it going to rain at all this upcoming week what city shall i check for rain? redwood city,chance of rain on redwood_city_saturday in redwood city.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> chance of rain on redwood_city_saturday in redwood city <eos>
62,is it going to rain at all this upcoming week what city shall i check for rain? redwood city chance of rain on redwood_city_saturday in redwood city. okay thank you,no problem,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> no problem <eos>
63,is there a nearby rest stop?,hotel keen and the westin are both nearby.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> the just are both nearby <eos>
64,is there a nearby rest stop? hotel keen and the westin are both nearby. which has the least amount of traffic at the moment.,they both have none.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> they both have none <eos>
65,is there a nearby rest stop? hotel keen and the westin are both nearby. which has the least amount of traffic at the moment. they both have none. what is the address for keen?,"578 arbol dr, we're Hotel_Keen_distance away from it. set the navigation there?",<pad> <pad> <pad> <pad> <pad> <pad> <pad> 578 arbol dr we're Hotel_Keen_distance away from it set the navigation <unk> <eos>
66,"is there a nearby rest stop? hotel keen and the westin are both nearby. which has the least amount of traffic at the moment. they both have none. what is the address for keen? 578 arbol dr, we're Hotel_Keen_distance away from it. set the navigation there? yes, sounds great.",alright,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> alright <eos>
67,"give me the address of the nearest shopping center to me, with the fastest route to it",stanford shopping center is Stanford_Shopping_Center_distance away at 773 alger dr.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> stanford shopping center is Stanford_Shopping_Center_distance away at 773 alger dr <eos>
68,"give me the address of the nearest shopping center to me, with the fastest route to it stanford shopping center is Stanford_Shopping_Center_distance away at 773 alger dr. is there any traffic?",there is Stanford_Shopping_Center_traffic_info on the way to stanford shopping center.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> there is Stanford_Shopping_Center_traffic_info on the way to stanford shopping center <eos>
69,"give me the address of the nearest shopping center to me, with the fastest route to it stanford shopping center is Stanford_Shopping_Center_distance away at 773 alger dr. is there any traffic? there is Stanford_Shopping_Center_traffic_info on the way to stanford shopping center. then pick the fastest route and let's go there, thank you car!",i sent on your screen the fastest route to the shopping center. and you're welcome!,<pad> <pad> <pad> <pad> i sent on your screen the fastest route to the shopping center and you're <unk> <eos>
70,what is the weather like today in tomorrow,what city are you inquiring about?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you you want the look <unk> <eos>
71,what is the weather like today in tomorrow what city are you inquiring about? will it be cloudy in compton today?,compton is not showing a forecast for cloudy skies today.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> compton is not showing a forecast for cloudy skies today <eos>
72,what is the weather like today in tomorrow what city are you inquiring about? will it be cloudy in compton today? compton is not showing a forecast for cloudy skies today. ok.,you are welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
73,tell me the time of today's meeting,the meeting is at 7pm,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> is city meeting is at 7pm <eos>
74,tell me the time of today's meeting the meeting is at 7pm  perfect.,anything else?,<pad> <pad> <pad> <pad> <pad> <pad> will <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> anything <unk> <eos>
75,find me a gas station that i can get to the quickest without any traffic,"the nearest gas station is located at 91 el camino real, but there is a roadblock nearby.",<pad> <pad> <pad> <pad> gas station is located at 91 el camino real but there is a roadblock nearby <eos>
76,"find me a gas station that i can get to the quickest without any traffic the nearest gas station is located at 91 el camino real, but there is a roadblock nearby. anything else around?",i'm sorry but this is the only option in a 6 miles range,<pad> <pad> <pad> <pad> <pad> <pad> i'm sorry but this is the only option in a 6 miles range <eos>
77,"find me a gas station that i can get to the quickest without any traffic the nearest gas station is located at 91 el camino real, but there is a roadblock nearby. anything else around? i'm sorry but this is the only option in a 6 miles range ok, please give me directions via the fastest route.","there is a road block nearby, i sent on your screen a slightly longer road that will allow you to reach faster",<pad> block nearby i note is your screen a slightly longer road that will allow you to reach faster <eos>
78,"find me a gas station that i can get to the quickest without any traffic the nearest gas station is located at 91 el camino real, but there is a roadblock nearby. anything else around? i'm sorry but this is the only option in a 6 miles range ok, please give me directions via the fastest route.  there is a road block nearby, i sent on your screen a slightly longer road that will allow you to reach faster thank you",you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're you're <eos>
79,where does my friend live?,tom's house is 6 miles away at 580 van ness avenue.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you friend tom go <unk> <eos>
80,where does my friend live? tom's house is 6 miles away at 580 van ness avenue.  is that the fastest route?,"i'll send the route with no traffic on your screen, drive carefully!",<pad> <pad> <pad> <pad> <pad> <pad> <pad> i'll send the route with no traffic on your screen drive <unk> <eos>
81,"where does my friend live? tom's house is 6 miles away at 580 van ness avenue.  is that the fastest route? i'll send the route with no traffic on your screen, drive carefully! thank you",you are welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
82,show me traffic for going home,there is home_traffic_info listed going to 10 ames street.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> listed it to 10 the street <eos>
83,"show me traffic for going home there is home_traffic_info listed going to 10 ames street.  then pick the fastest route and set the gps to go there, thank you!",setting navigation now.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> setting navigation now <eos>
84,"show me traffic for going home there is home_traffic_info listed going to 10 ames street.  then pick the fastest route and set the gps to go there, thank you! setting navigation now.  thanks for the help.",you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
85,will it be dry in fresno on fresno_sunday?,"no, on fresno_sunday in fresno there will be a blizzard.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> will the be there will be a blizzard <eos>
86,"will it be dry in fresno on fresno_sunday? no, on fresno_sunday in fresno there will be a blizzard. okay, thank you",no problem.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> no problem <eos>
87,car i'm desiring to have pizza: is there any restaurant within 2 miles?,i have a pizza restaurant located 1 mile away.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> i have a pizza restaurant located 1 mile away <eos>
88,car i'm desiring to have pizza: is there any restaurant within 2 miles? i have a pizza restaurant located 1 mile away. what is the address?,dominos is at Dominos_address.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> dominos is at Dominos_address <eos>
89,car i'm desiring to have pizza: is there any restaurant within 2 miles? i have a pizza restaurant located 1 mile away. what is the address? dominos is at Dominos_address. thanks!,you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
90,search hotels near me,the comfort inn is the only rest stop nearby. it is Comfort_Inn_distance away and there is a car collision nearby,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you of car collision nearby <eos>
91,search hotels near me the comfort inn is the only rest stop nearby. it is Comfort_Inn_distance away and there is a car collision nearby find an alternate route please.,setting navigation to Comfort_Inn_address now.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> setting navigation to Comfort_Inn_address now <eos>
92,"search hotels near me the comfort inn is the only rest stop nearby. it is Comfort_Inn_distance away and there is a car collision nearby find an alternate route please. setting navigation to Comfort_Inn_address now.  thank you car assistant, make sure the route is the shortest distance.",i did! and you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> i <unk> and you're <unk> <eos>
93,set a reminder for my conference call tomorrow,what time should i set a reminder for tomorrow's conference call?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> and time a reminder for tomorrow's conference <unk> <eos>
94,set a reminder for my conference call tomorrow what time should i set a reminder for tomorrow's conference call? tomorrow at 2 pm.,i have scheduled a conference call for tomorrow at 2 pm.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> i have scheduled a conference call for tomorrow at 2 pm <eos>
95,take me to the parking garage closest to my destination,"the closest  parking garage is 	palo alto garage r which is only Palo_Alto_Garage_R_distance away, but there is a road block in the area.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> away a car collision nearby but it is Webster_Garage_distance away <eos>
96,"take me to the parking garage closest to my destination the closest  parking garage is 	palo alto garage r which is only Palo_Alto_Garage_R_distance away, but there is a road block in the area.  uhh ok well i still need to park so what's the address?",setting navigation now to Palo_Alto_Garage_R_address.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> setting navigation now to Palo_Alto_Garage_R_address <eos>
97,"take me to the parking garage closest to my destination the closest  parking garage is 	palo alto garage r which is only Palo_Alto_Garage_R_distance away, but there is a road block in the area.  uhh ok well i still need to park so what's the address? setting navigation now to Palo_Alto_Garage_R_address. thank you.",your welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> your welcome <eos>
98,where can i get coffee,"there is palo alto cafe Palo_Alto_Cafe_distance away or, if you prefer, philz 6 miles away",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you you is you <unk> <eos>
99,"where can i get coffee there is palo alto cafe Palo_Alto_Cafe_distance away or, if you prefer, philz 6 miles away give me the address of philz.",philz is at 583 alester ave.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> philz is at 583 alester ave <eos>
100,"where can i get coffee there is palo alto cafe Palo_Alto_Cafe_distance away or, if you prefer, philz 6 miles away give me the address of philz. philz is at 583 alester ave. thanks so much. is that the fastest route available?",no actually there is another coffee shop that's just two miles away. it's called palo alto cafe and located at Palo_Alto_Cafe_address.,<pad> <pad> <pad> coffee shop that's just two miles away it's called palo alto cafe and located at Palo_Alto_Cafe_address <eos>
